DATE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1
2020-04-01 0:00,0,0,0,0,35.6,31.6,31.6,37.6,32.4,40.5,39.2,37.3
2020-04-01 1:00,0,0,0,0,35.6,31.6,31.5,37.6,32.4,40.6,39.2,37.3
2020-04-01 2:00,0,0,0,0,35.5,31.6,31.6,37.6,32.4,40.6,39.2,37.3
2020-04-01 3:00,0,0,0,0,35.5,31.6,31.5,37.6,32.4,40.6,39.2,37.3
2020-04-01 4:00,0,0,0,0,35.5,31.6,31.6,37.6,32.5,40.6,39.2,37.3
2020-04-01 5:00,0,0,0,0,35.4,31.7,31.6,37.6,32.5,40.6,39.2,37.2
2020-04-01 6:00,0,0,0,0,35.4,31.7,31.6,37.6,32.5,40.7,39.2,37.2
2020-04-01 7:00,0,0,0,0,35.4,31.7,31.6,37.6,32.5,40.7,39.2,37.3
2020-04-01 8:00,0,0,0,0,35.4,31.7,31.6,37.6,32.5,40.7,39.2,37.3
2020-04-01 9:00,0,0,0,0,35.4,31.7,31.6,37.6,32.5,40.7,39.3,37.3
2020-04-01 10:00,39.8,36.8,33.9,36.8,35.4,31.7,31.6,37.6,32.5,40.7,39.2,37.3
2020-04-01 11:00,39.8,36.9,33.9,36.8,35.4,31.7,31.6,37.6,32.6,40.8,39.3,37.3
2020-04-01 12:00,39.8,36.9,33.9,36.8,35.4,31.8,31.6,37.7,32.7,40.8,39.3,37.3
2020-04-01 13:00,39.8,36.9,33.9,36.8,35.4,31.8,31.6,37.6,32.8,40.8,39.2,37.3
2020-04-01 14:00,39.9,36.9,33.9,36.8,35.4,31.8,31.6,37.6,32.9,40.9,39.2,37.3
2020-04-01 15:00,39.9,36.9,33.9,36.8,35.4,31.8,31.6,37.6,33,40.9,39.2,37.3
2020-04-01 16:00,39.9,36.9,33.9,36.8,35.4,31.9,31.6,37.6,33.1,40.9,39.2,37.3
2020-04-01 17:00,39.9,36.9,33.9,36.8,35.5,31.9,31.6,37.6,33.1,40.9,39.2,37.3
2020-04-01 18:00,39.9,36.9,33.9,36.8,35.5,31.9,31.6,37.7,33.1,40.9,39.3,37.3
2020-04-01 19:00,39.8,36.9,33.9,36.8,35.4,31.9,31.6,37.6,33.1,40.9,39.3,37.2
2020-04-01 20:00,39.8,36.9,33.9,36.8,35.4,32,31.6,37.6,33.1,41,39.3,37.3
2020-04-01 21:00,39.8,36.9,33.9,36.8,35.4,32,31.6,37.6,33.1,41,39.3,37.3
2020-04-01 22:00,39.8,36.9,33.9,36.8,35.4,32,31.6,37.6,33.1,41,39.3,37.3
2020-04-01 23:00,39.8,36.9,33.9,36.8,35.3,32,31.6,37.6,33.1,41,39.2,37.2
2020-04-02 0:00,39.8,36.9,33.9,36.8,35.3,32,31.6,37.6,33.1,41,39.2,37.2
2020-04-02 1:00,0,0,0,0,35.3,32,31.6,37.6,33.1,41.1,39.3,37.3
2020-04-02 2:00,39.7,36.9,33.9,36.8,35.3,32,31.6,37.6,33,41.1,39.3,37.3
2020-04-02 3:00,39.7,36.9,33.9,36.8,35.3,32,31.6,37.7,33,41.1,39.3,37.2
2020-04-02 4:00,39.7,36.9,33.9,36.8,35.3,32,31.6,37.6,33,41.1,39.3,37.2
2020-04-02 5:00,39.7,36.9,33.9,36.8,35.3,32,31.6,37.6,33,41.1,39.3,37.2
2020-04-02 6:00,39.7,36.9,33.9,36.8,35.3,32,31.6,37.6,33,41.1,39.3,37.2
2020-04-02 7:00,39.7,36.9,33.9,36.8,35.3,32,31.6,37.6,33,41.1,39.3,37.2
2020-04-02 8:00,39.7,36.9,33.9,36.8,35.2,32,31.6,37.6,33.1,41.1,39.3,37.2
2020-04-02 9:00,39.7,37,33.9,36.8,35.2,32,31.6,37.6,33.1,41.1,39.3,37.2
2020-04-02 10:00,39.7,37,33.9,36.8,35.2,32,31.6,37.6,33.1,41.2,39.3,37.2
2020-04-02 11:00,39.7,36.9,33.9,36.8,35.2,32,31.6,37.6,33.1,41.2,39.3,37.2
2020-04-02 12:00,39.6,36.9,33.8,36.8,35.2,31.9,31.6,37.6,33.1,41.2,39.3,37.2
2020-04-02 13:00,39.6,36.9,33.8,36.8,35.2,32,31.6,37.6,33.1,41.2,39.3,37.2
2020-04-02 14:00,39.6,36.9,33.9,36.8,35.2,32,31.6,37.6,33.1,41.2,39.3,37.2
2020-04-02 15:00,39.6,36.9,33.9,36.8,35.2,32,31.6,37.6,33,41.2,39.3,37.2
2020-04-02 16:00,39.6,37,33.9,36.8,35.1,32,31.6,37.6,33,41.2,39.3,37.2
2020-04-02 17:00,39.6,37,33.9,36.8,35.1,32,31.6,37.6,33,41.2,39.3,37.2
2020-04-02 18:00,39.6,36.9,33.8,36.8,35.1,32,31.6,37.6,33,41.2,39.3,37.2
2020-04-02 19:00,39.5,36.9,33.8,36.8,35.1,32,31.6,37.6,32.9,41.2,39.3,37.2
2020-04-02 20:00,39.5,36.9,33.8,36.8,35.1,32,31.6,37.6,32.9,41.2,39.3,37.2
2020-04-02 21:00,39.5,36.9,33.8,36.7,35.1,32,31.6,37.6,32.9,41.2,39.3,37.2
2020-04-02 22:00,39.5,36.9,33.8,36.7,35.1,32,31.6,37.6,32.9,41.3,39.3,37.2
2020-04-02 23:00,39.5,36.9,33.8,36.7,35,32,31.6,37.6,32.8,41.2,39.3,37.2
2020-04-03 0:00,39.5,36.9,33.8,36.8,35,32,31.6,37.6,32.8,41.3,39.3,37.2
2020-04-03 1:00,39.4,36.9,33.8,36.8,35,31.9,31.6,37.6,32.8,41.3,39.3,37.2
2020-04-03 2:00,39.4,36.9,33.8,36.8,35,31.9,31.6,37.6,32.8,41.3,39.3,37.2
2020-04-03 3:00,39.4,36.9,33.8,36.8,35,31.9,31.6,37.6,32.8,41.3,39.3,37.2
2020-04-03 4:00,39.4,36.9,33.8,36.8,35,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 5:00,39.4,36.9,33.8,36.8,35,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 6:00,39.4,36.9,33.8,36.8,34.9,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 7:00,39.3,36.9,33.8,36.8,34.9,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 8:00,0,0,0,0,34.9,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 9:00,39.3,36.9,33.8,36.8,34.9,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 10:00,39.3,36.9,33.8,36.7,34.9,31.9,31.6,37.7,32.7,41.3,39.3,37.2
2020-04-03 11:00,39.3,36.9,33.8,36.8,34.9,31.9,31.6,37.7,32.7,41.3,39.3,37.3
2020-04-03 12:00,39.3,36.9,33.8,36.7,34.9,31.9,31.6,37.6,32.7,41.3,39.3,37.2
2020-04-03 13:00,39.3,36.9,33.8,36.7,34.9,31.8,31.6,37.7,32.7,41.3,39.3,37.2
2020-04-03 14:00,39.2,36.9,33.8,36.7,34.9,31.8,31.6,37.7,32.7,41.3,39.3,37.2
2020-04-03 15:00,39.3,36.9,33.8,36.8,34.9,31.8,31.6,37.7,32.7,41.3,39.3,37.2
2020-04-03 16:00,39.2,36.9,33.8,36.8,34.9,31.8,31.6,37.7,32.7,41.3,39.3,37.3
2020-04-03 17:00,39.2,36.9,33.8,36.8,34.9,31.8,31.6,37.7,32.7,41.3,39.3,37.3
2020-04-03 18:00,39.2,36.9,33.8,36.8,34.9,31.8,31.6,37.7,32.7,41.3,39.2,37.2
2020-04-03 19:00,39.2,36.9,33.8,36.8,34.9,31.8,31.6,37.7,32.7,41.3,39.2,37.2
2020-04-03 20:00,39.3,36.9,33.8,36.7,34.9,31.8,31.5,37.7,32.7,41.3,39.2,37.2
2020-04-03 21:00,39.3,36.9,33.8,36.8,34.9,31.9,31.5,37.7,32.7,41.3,39.2,37.2
2020-04-03 22:00,39.3,36.9,33.8,36.7,34.9,31.8,31.5,37.7,32.7,41.3,39.2,37.2
2020-04-03 23:00,39.3,36.9,33.8,36.7,35,31.9,31.5,37.7,32.6,41.3,39.2,37.3
2020-04-04 0:00,39.3,36.9,33.8,36.7,35,31.8,31.5,37.7,32.6,41.3,39.2,37.2
2020-04-04 1:00,39.3,36.9,33.8,36.7,35,31.8,31.5,37.7,32.6,41.3,39.2,37.2
2020-04-04 2:00,39.4,36.9,33.8,36.7,35,31.8,31.5,37.7,32.6,41.3,39.2,37.2
2020-04-04 3:00,39.4,36.9,33.8,36.8,35,31.8,31.5,37.6,32.6,41.3,39.2,37.2
2020-04-04 4:00,39.4,36.9,33.8,36.8,35,31.8,31.5,37.6,32.6,41.3,39.2,37.2
2020-04-04 5:00,39.4,36.8,33.8,36.8,35,31.8,31.5,37.6,32.6,41.3,39.2,37.2
2020-04-04 6:00,39.4,36.8,33.8,36.7,35,31.8,31.5,37.6,32.6,41.3,39.2,37.2
2020-04-04 7:00,39.4,36.8,33.8,36.8,35,31.8,31.5,37.6,32.6,41.3,39.2,37.2
2020-04-04 8:00,39.4,36.8,33.8,36.7,35,31.8,31.5,37.7,32.6,41.4,39.2,37.3
2020-04-04 9:00,39.4,36.9,33.8,36.7,35,31.8,31.5,37.7,32.6,41.4,39.2,37.2
2020-04-04 10:00,39.4,36.8,33.8,36.8,35.1,31.8,31.5,37.7,32.6,41.3,39.2,37.2
2020-04-04 11:00,39.5,36.8,33.7,36.7,35,31.8,31.5,37.6,32.6,41.4,39.2,37.2
2020-04-04 12:00,39.4,36.8,33.7,36.8,35.1,31.8,31.4,37.7,32.7,41.4,39.2,37.3
2020-04-04 13:00,0,0,0,0,35.1,31.8,31.5,37.7,32.8,41.4,39.2,37.2
2020-04-04 14:00,39.6,36.8,33.7,36.8,35.2,31.8,31.5,37.6,32.9,41.4,39.2,37.2
2020-04-04 15:00,39.6,36.8,33.8,36.8,35.3,31.8,31.5,37.6,32.9,41.4,39.2,37.2
2020-04-04 16:00,39.6,36.8,33.8,36.8,35.3,31.8,31.5,37.6,33,41.4,39.1,37.2
2020-04-04 17:00,39.6,36.8,33.8,36.8,35.4,31.8,31.4,37.6,33,41.4,39.1,37.2
2020-04-04 18:00,39.6,36.8,33.8,36.8,35.4,31.8,31.4,37.6,33,41.4,39.1,37.2
2020-04-04 19:00,39.6,36.8,33.8,36.8,35.4,31.8,31.4,37.7,33,41.4,39.1,37.2
2020-04-04 20:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.9,41.4,39.1,37.2
2020-04-04 21:00,39.6,36.9,33.8,36.8,35.4,31.8,31.4,37.7,32.9,41.4,39.1,37.2
2020-04-04 22:00,39.6,36.9,33.8,36.7,35.4,31.8,31.4,37.6,32.9,41.4,39.1,37.2
2020-04-04 23:00,39.6,36.9,33.8,36.7,35.4,31.9,31.4,37.6,32.8,41.4,39.1,37.2
2020-04-05 0:00,39.6,36.8,33.8,36.8,35.4,31.9,31.4,37.6,32.8,41.4,39.1,37.2
2020-04-05 1:00,39.6,36.8,33.8,36.8,35.4,31.9,31.4,37.6,32.8,41.4,39.1,37.2
2020-04-05 2:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 3:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 4:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 5:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 6:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 7:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 8:00,39.6,36.8,33.7,36.7,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 9:00,39.6,36.8,33.8,36.8,35.4,31.8,31.4,37.7,32.7,41.4,39.1,37.2
2020-04-05 10:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.7,41.4,39.1,37.2
2020-04-05 11:00,39.6,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.8,41.4,39.1,37.2
2020-04-05 12:00,39.7,36.8,33.7,36.8,35.4,31.8,31.4,37.6,32.9,41.4,39.1,37.2
2020-04-05 13:00,39.6,36.8,33.7,36.7,35.4,31.8,31.4,37.6,32.9,41.4,39.1,37.2
2020-04-05 14:00,39.7,36.8,33.7,36.7,35.4,31.8,31.4,37.6,33,41.4,39.1,37.2
2020-04-05 15:00,39.7,36.8,33.7,36.7,35.4,31.9,31.4,37.6,33.1,41.4,39.1,37.2
2020-04-05 16:00,39.7,36.8,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.4,39.1,37.2
2020-04-05 17:00,39.7,36.8,33.7,36.7,35.4,31.9,31.4,37.6,33.1,41.4,39.1,37.2
2020-04-05 18:00,39.7,36.9,33.7,36.7,35.4,31.9,31.4,37.6,33.2,41.4,39.1,37.2
2020-04-05 19:00,39.7,36.8,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.4,39.1,37.1
2020-04-05 20:00,39.7,36.8,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.5,39.1,37.2
2020-04-05 21:00,39.7,36.8,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.4,39.1,37.1
2020-04-05 22:00,39.7,36.9,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-05 23:00,39.7,36.8,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 0:00,39.7,36.8,33.7,36.8,35.4,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 1:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 2:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 3:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 4:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.4,39.1,37.1
2020-04-06 5:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.4,39.1,37.1
2020-04-06 6:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 7:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.4,39.1,37.1
2020-04-06 8:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 9:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.5,39.1,37.1
2020-04-06 10:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.1,41.4,39.1,37.1
2020-04-06 11:00,39.7,36.8,33.7,36.8,35.3,31.9,31.4,37.6,33.2,41.4,39.1,37.1
2020-04-06 12:00,39.7,36.9,33.7,36.7,35.3,32,31.4,37.6,33.2,41.5,39.1,37.1
2020-04-06 13:00,39.7,36.8,33.7,36.7,35.3,32,31.4,37.6,33.3,41.5,39.1,37.1
2020-04-06 14:00,39.8,36.8,33.7,36.7,35.3,32,31.4,37.6,33.3,41.4,39.1,37.1
2020-04-06 15:00,39.8,36.9,33.7,36.8,35.4,31.9,31.4,37.6,33.4,41.5,39.1,37.1
2020-04-06 16:00,39.8,36.9,33.7,36.8,35.4,32,31.4,37.6,33.4,41.5,39.1,37.1
2020-04-06 17:00,39.8,36.9,33.7,36.8,35.4,32,31.4,37.6,33.5,41.5,39.1,37.1
2020-04-06 18:00,39.8,36.9,33.7,36.8,35.4,32,31.4,37.6,33.5,41.5,39.1,37.1
2020-04-06 19:00,39.8,36.9,33.7,36.8,35.4,32,31.4,37.6,33.5,41.5,39.1,37.1
