DATE,SWC_F_1_1_1,SWC_F_1_2_1,SWC_F_1_3_1,SWC_F_1_4_1,SWC_F_2_1_1,SWC_F_2_2_1,SWC_F_2_3_1,SWC_F_2_4_1,SWC_F_3_1_1,SWC_F_3_2_1,SWC_F_3_3_1,SWC_F_3_4_1
2022-04-01 0:00,32.6,29.4,34.9,36.3,32.2,33.0,31.3,37.4,32.2,34.8,38.1,35.8
2022-04-01 1:00,32.6,29.5,34.9,36.3,32.2,32.9,31.3,37.4,32.2,34.8,38.1,35.8
2022-04-01 2:00,32.6,29.4,34.9,36.3,32.2,32.9,31.3,37.3,32.2,34.8,38.1,35.8
2022-04-01 3:00,32.6,29.4,34.9,36.3,32.2,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 4:00,32.6,29.4,34.9,36.3,32.2,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 5:00,32.6,29.4,34.9,36.3,32.2,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 6:00,32.6,29.4,34.9,36.3,32.1,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 7:00,32.5,29.4,34.9,36.2,32.2,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 8:00,32.5,29.4,34.8,36.2,32.1,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 9:00,32.5,29.4,34.8,36.2,32.1,32.9,31.3,37.4,32.1,34.8,38.1,35.8
2022-04-01 10:00,32.5,29.4,34.8,36.1,32.1,32.9,31.2,37.4,32.1,34.8,38.1,35.8
2022-04-01 11:00,32.5,29.4,34.8,36.1,32.1,32.9,31.2,37.3,32.1,34.8,38.1,35.8
2022-04-01 12:00,32.5,29.3,34.8,36.1,32.1,32.9,31.2,37.4,32.1,34.7,38.1,35.8
2022-04-01 13:00,32.5,29.3,34.8,36.2,32.1,32.9,31.3,37.4,32.1,34.7,38.1,35.8
2022-04-01 14:00,32.6,29.3,34.8,36.2,32.2,32.9,31.2,37.4,32.1,34.7,38.1,35.8
2022-04-01 15:00,32.6,29.3,34.8,36.1,32.2,32.9,31.2,37.4,32.1,34.7,38.1,35.8
2022-04-01 16:00,32.6,29.3,34.8,36.1,32.2,32.9,31.2,37.4,32.2,34.7,38.1,35.8
2022-04-01 17:00,32.7,29.3,34.8,36.1,32.2,32.9,31.2,37.4,32.2,34.7,38.1,35.8
2022-04-01 18:00,32.7,29.3,34.8,36.2,32.2,32.9,31.2,37.4,32.2,34.8,38.1,35.7
2022-04-01 19:00,32.7,29.3,34.8,36.1,32.2,32.9,31.2,37.3,32.3,34.8,38.1,35.7
2022-04-01 20:00,32.7,29.3,34.8,36.1,32.2,32.9,31.2,37.4,32.3,34.8,38.1,35.8
2022-04-01 21:00,32.7,29.3,34.8,36.1,32.2,32.9,31.2,37.4,32.3,34.8,38.1,35.7
2022-04-01 22:00,32.7,29.4,34.8,36.1,32.2,32.9,31.2,37.4,32.3,34.8,38.1,35.7
