DATE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1
2019-05-31 0:54,35.6,41.2,40.1,43.1,31,37.6,34.5,38.7,35.6,36.1,40.6,39.8
2019-05-31 1:54,35.6,41.1,40.1,43.1,31,37.7,34.5,38.7,35.6,36.1,40.5,39.8
2019-05-31 2:54,35.6,41.1,40.1,43.1,31,37.7,34.5,38.7,35.6,36.1,40.5,39.8
2019-05-31 3:54,35.5,41,40.1,43.2,30.9,37.7,34.5,38.7,35.7,36.1,40.5,39.7
2019-05-31 4:54,35.5,41,40.1,43.2,30.9,37.7,34.5,38.7,35.8,36.1,40.5,39.7
2019-05-31 5:54,35.5,41,40.1,43.2,30.8,37.6,34.5,38.7,35.8,36.1,40.5,39.7
2019-05-31 6:54,35.5,41,40,43.1,30.8,37.6,34.5,38.7,35.9,36,40.5,39.8
2019-05-31 7:54,35.5,41,40,43.1,30.8,37.5,34.5,38.7,35.9,36,40.5,39.7
2019-05-31 8:54,35.4,41,40,43.2,30.8,37.4,34.5,38.7,36,36,40.5,39.7
2019-05-31 9:54,35.4,40.9,40,43.1,30.8,37.3,34.5,38.7,36,36,40.5,39.7
2019-05-31 10:54,35.5,40.9,40.1,43.1,30.9,37.1,34.5,38.7,36,36,40.5,39.7
2019-05-31 11:54,35.4,40.9,38.5,43.1,30.9,37,34.5,38.7,36.1,35.9,40.5,39.5
2019-05-31 12:54,35.4,40.9,38.2,43.1,31,36.9,34.5,38.6,36.1,35.9,40.5,39.5
2019-05-31 13:54,35.4,41,38,43.1,31,36.8,34.5,38.6,36.1,36,40.5,39.5
2019-05-31 14:54,35.3,41,37.8,43.1,31,36.8,34.5,38.6,36.2,36,40.5,39.4
2019-05-31 15:54,35.3,41,37.7,43.1,31.1,36.8,34.5,38.6,36.2,36,40.5,39.5
2019-05-31 16:54,35.3,40.9,37.7,43.1,31.1,36.9,34.5,38.6,36.2,36.1,40.5,39.4
2019-05-31 17:54,35.3,40.9,37.6,43.1,31.1,37,34.4,38.7,36.2,36.1,40.5,39.4
2019-05-31 18:54,35.2,40.9,37.6,43.1,31.1,37,34.4,38.6,36.2,36.1,40.5,39.4
2019-05-31 19:54,35.2,40.9,37.5,40.4,31,37.1,34.4,38.6,36.2,36.2,40.5,39.4
2019-05-31 20:54,35.2,40.9,37.5,38.7,30.9,37.2,34.4,38.6,36.1,36.2,40.5,39.4
2019-05-31 21:54,35.1,41,37.4,38.3,30.8,37.3,34.4,38.6,36.1,36.2,40.5,39.4
2019-05-31 22:54,35.1,40.9,37,38.1,30.8,37.4,34.4,38.6,36,36.2,40.5,39.4
2019-05-31 23:54,35.1,40.9,36.3,37.7,30.7,37.4,34.4,38.6,36,36.2,40.5,39.4
2019-06-01 0:54,35,40.9,36.2,37.6,30.7,37.4,34.4,38.6,35.9,36.1,40.4,39.4
2019-06-01 1:54,35,40.8,36.2,37.5,30.6,37.5,34.4,38.6,35.9,36.1,40.4,39.4
2019-06-01 2:54,34.9,40.8,36.1,37.4,30.6,37.5,34.4,38.6,35.9,36.1,40.4,39.4
2019-06-01 3:54,34.9,40.8,36.1,37.4,30.5,37.5,34.4,38.6,35.8,36.1,40.5,39.4
2019-06-01 4:54,34.8,40.8,36,37.3,30.5,37.4,34.4,38.6,35.8,36,40.5,39.4
2019-06-01 5:54,34.8,40.8,36,37.2,30.5,37.4,34.4,38.6,35.7,36,40.5,39.4
2019-06-01 6:54,34.8,40.8,35.9,37.2,30.4,37.3,34.4,38.6,35.7,36,40.5,39.4
2019-06-01 7:54,34.8,40.8,35.9,37.1,30.4,37.2,34.5,38.6,35.7,35.9,40.5,39.4
2019-06-01 8:54,34.8,40.8,35.9,37,30.4,37.1,34.4,38.6,35.7,35.9,40.5,39.4
2019-06-01 9:54,34.8,40.7,35.8,36.9,30.5,37,34.4,38.6,35.7,35.9,40.5,39.4
2019-06-01 10:54,34.8,40.8,35.7,36.9,30.5,36.9,34.4,38.6,35.7,35.9,40.5,39.4
2019-06-01 11:54,34.8,40.7,35.7,36.8,30.6,36.9,34.4,38.6,35.8,35.9,40.5,39.4
2019-06-01 12:54,34.8,40.8,35.7,36.8,30.6,36.8,34.4,38.6,35.8,35.9,40.5,39.4
2019-06-01 13:54,34.8,40.8,35.6,36.8,30.7,36.8,34.4,38.6,35.9,35.9,40.4,39.4
2019-06-01 14:54,34.8,40.8,35.6,36.8,30.7,36.8,34.4,38.6,35.9,36,40.4,39.3
2019-06-01 15:54,34.8,40.8,35.5,36.8,30.8,36.9,34.4,38.6,36,36,40.4,39.4
2019-06-01 16:54,34.7,40.9,35.4,36.8,30.7,37,34.4,38.6,36,36,40.5,39.4
2019-06-01 17:54,34.7,40.9,35.4,36.8,30.7,37,34.4,38.5,36,36.1,40.5,39.4
