DATE,SWC_PI_F_1_1_1,SWC_PI_F_1_2_1,SWC_PI_F_1_3_1,SWC_PI_F_1_4_1,SWC_PI_F_1_5_1,SWC_PI_F_2_1_1,SWC_PI_F_2_2_1,SWC_PI_F_2_3_1,SWC_PI_F_2_4_1,SWC_PI_F_2_5_1,SWC_PI_F_3_1_1,SWC_PI_F_3_2_1,SWC_PI_F_3_3_1,SWC_PI_F_3_4_1,SWC_PI_F_3_5_1,SWC_PI_F_4_1_1,SWC_PI_F_4_2_1,SWC_PI_F_4_3_1,SWC_PI_F_4_4_1,SWC_PI_F_4_5_1
2018-05-26 0:07,32.9,34.4,35.4,35.9,45.2,36.8,38.6,41.3,31.9,42.4,40.1,39.3,33.7,35.6,42.8,35.5,36.1,43.3,42.8,45.2
2018-05-26 1:07,32.9,34.4,35.4,35.9,45.2,36.8,38.6,41.3,31.9,42.4,40,39.3,33.7,35.6,42.8,35.5,36.1,43.3,42.8,45.2
2018-05-26 2:07,32.9,34.4,35.4,35.9,45.2,36.8,38.6,41.3,31.9,42.3,40,39.3,33.7,35.6,42.8,35.5,36.1,43.3,42.8,45.2
2018-05-26 3:07,32.9,34.4,35.4,35.9,45.2,36.8,38.6,41.2,31.9,42.4,39.9,39.3,33.7,35.6,42.8,35.4,36.1,43.3,42.8,45.2
2018-05-26 4:07,32.9,34.4,35.4,35.9,45.3,36.8,38.6,41.3,31.9,42.4,39.9,39.3,33.7,35.6,42.7,35.4,36.1,43.3,42.8,45.2
2018-05-26 5:07,32.8,34.3,35.4,35.9,45.3,36.7,38.7,41.3,31.9,42.4,39.9,39.2,33.7,35.6,42.8,35.4,36.1,43.3,42.8,45.2
2018-05-26 6:07,32.8,34.4,35.4,36,45.2,36.7,38.7,41.3,31.9,42.4,39.8,39.2,33.7,35.6,42.8,35.4,36.1,43.3,42.8,45.1
2018-05-26 7:07,32.8,34.3,35.4,35.9,45.2,36.7,38.6,41.3,31.9,42.4,39.8,39.2,33.7,35.6,42.7,35.3,36.1,43.3,42.8,45.2
2018-05-26 8:07,32.8,34.3,35.4,35.9,45.2,36.7,38.6,41.3,31.9,42.4,39.8,39.2,33.7,35.6,42.7,35.3,36.1,43.3,42.8,45.1
2018-05-26 9:07,32.8,34.3,35.4,35.9,45.2,36.7,38.6,41.3,31.9,42.4,39.8,39.2,33.7,35.6,42.6,35.3,36.1,43.3,42.8,45.2
2018-05-26 10:07,32.8,34.3,35.4,35.9,45.2,36.7,38.6,41.3,31.9,42.3,39.8,39.2,33.7,35.6,42.8,35.3,36,43.3,42.8,45.2
2018-05-26 11:07,32.8,34.3,35.4,36,45.2,36.7,38.6,41.2,31.9,42.4,39.8,39.2,33.7,35.6,42.8,35.3,36,43.3,42.8,45.1
2018-05-26 12:07,32.8,34.3,35.4,35.9,45.2,36.7,38.6,41.2,31.9,42.4,39.9,39.2,33.7,35.6,42.6,35.4,36,43.3,42.8,45.1
2018-05-26 13:07,32.8,34.3,35.4,35.9,45.2,36.8,38.6,41.2,31.9,42.3,40,39.2,33.7,35.6,42.7,35.4,36,43.3,42.8,45.1
2018-05-26 14:07,32.8,34.3,35.4,36,45.2,36.8,38.6,41.2,31.9,42.4,40,39.2,33.7,35.6,42.8,35.4,36,43.3,42.8,45.1
2018-05-26 15:07,32.8,34.3,35.4,36,45.1,36.8,38.6,41.2,31.9,42.4,40.1,39.2,33.7,35.6,42.8,35.5,36,43.3,42.8,45.2
2018-05-26 16:07,32.8,34.3,35.4,36,45.2,36.9,38.6,41.2,31.9,42.4,40.1,39.2,33.7,35.6,42.6,35.5,36,43.3,42.8,45.2
2018-05-26 17:07,32.9,34.3,35.4,36,45.1,36.9,38.6,41.2,31.9,42.4,40.2,39.2,33.7,35.6,42.6,35.5,36,43.3,42.8,45.2
2018-05-26 18:07,32.8,34.3,35.4,35.9,45.2,36.9,38.7,41.2,31.9,42.4,40.2,39.2,33.7,35.6,42.6,35.5,36.1,43.3,42.8,45.1
2018-05-26 19:07,32.8,34.3,35.4,35.9,45.2,36.9,38.7,41.3,31.9,42.4,40.2,39.3,33.8,35.6,42.8,35.5,36.1,43.3,42.8,45.1
2018-05-26 20:07,32.8,34.3,35.4,36,45.2,36.9,38.7,41.3,31.9,42.4,40.2,39.3,33.8,35.6,42.7,35.5,36.1,43.3,42.8,45.1
2018-05-26 21:07,32.8,34.3,35.4,36,45.3,36.9,38.7,41.3,31.9,42.4,40.2,39.3,33.7,35.6,42.8,35.5,36.1,43.3,42.8,45.2
2018-05-26 22:07,32.8,34.3,35.4,36,45.2,36.9,38.7,41.3,31.9,42.4,40.1,39.3,33.7,35.6,42.7,35.5,36.1,43.3,42.8,45.2
2018-05-26 23:07,32.8,34.3,35.4,36,45.2,36.9,38.7,41.3,31.9,42.3,40.1,39.3,33.7,35.6,42.8,35.4,36.1,43.3,42.8,45.2
