DATE,SWC_F_1_1_1,SWC_F_1_2_1,SWC_F_1_3_1,SWC_F_1_4_1,SWC_F_1_5_1,SWC_F_2_1_1,SWC_F_2_2_1,SWC_F_2_3_1,SWC_F_2_4_1,SWC_F_2_5_1,SWC_F_3_1_1,SWC_F_3_2_1,SWC_F_3_3_1,SWC_F_3_4_1,SWC_F_3_5_1,SWC_F_4_1_1,SWC_F_4_2_1,SWC_F_4_3_1,SWC_F_4_4_1,SWC_F_4_5_1
2022-04-01 0:00,30.6,33.8,34.3,36.1,42.7,33.2,36.9,38.7,31.4,40.1,37.3,36.8,33.6,33.8,43.0,31.5,34.9,42.0,41.9,42.5
2022-04-01 1:00,30.6,33.7,34.3,36.1,42.7,33.2,36.9,38.7,31.4,40.1,37.3,36.7,33.5,33.8,43.0,31.5,34.9,42.0,41.9,42.4
2022-04-01 2:00,30.5,33.8,34.3,36.1,42.7,33.2,36.9,38.7,31.5,40.1,37.2,36.7,33.5,33.8,43.1,31.5,34.9,42.0,41.9,42.5
2022-04-01 3:00,30.5,33.8,34.2,36.1,42.6,33.2,36.9,38.7,31.4,40.0,37.2,36.7,33.5,33.8,43.1,31.5,34.9,42.0,41.9,42.5
2022-04-01 4:00,30.5,33.8,34.2,36.1,42.7,33.2,36.9,38.7,31.4,40.1,37.2,36.7,33.5,33.8,43.1,31.5,34.8,42.0,41.9,42.5
2022-04-01 5:00,30.5,33.8,34.2,36.1,42.6,33.2,36.9,38.7,31.4,40.1,37.2,36.7,33.5,33.8,43.2,31.5,34.8,42.0,41.9,42.4
2022-04-01 6:00,30.5,33.8,34.2,36.1,42.6,33.1,36.9,38.7,31.4,40.0,37.2,36.7,33.5,33.8,43.2,31.5,34.8,42.0,41.9,42.4
2022-04-01 7:00,30.5,33.7,34.2,36.1,42.7,33.1,36.9,38.7,31.4,40.0,37.1,36.7,33.5,33.8,43.0,31.5,34.8,42.0,41.9,42.5
2022-04-01 8:00,30.5,33.7,34.2,36.1,42.6,33.1,36.9,38.7,31.4,40.0,37.1,36.7,33.5,33.8,43.1,31.5,34.8,42.0,41.9,42.4
2022-04-01 9:00,30.5,33.7,34.2,36.0,42.5,33.1,36.9,38.7,31.4,40.0,37.1,36.7,33.5,33.8,43.2,31.5,34.8,42.0,41.9,42.4
2022-04-01 10:00,30.5,33.7,34.2,36.1,42.6,33.1,36.9,38.6,31.4,40.0,37.0,36.6,33.5,33.8,43.1,31.5,34.8,42.0,41.9,42.5
2022-04-01 11:00,30.4,33.7,34.2,36.1,42.6,33.1,36.9,38.6,31.4,40.0,37.0,36.6,33.5,33.8,43.2,31.5,34.8,42.0,41.9,42.4
2022-04-01 12:00,30.4,33.7,34.2,36.1,42.6,33.1,36.9,38.6,31.4,40.0,37.0,36.6,33.5,33.8,43.0,31.5,34.7,42.0,41.9,42.4
2022-04-01 13:00,30.4,33.7,34.2,36.0,42.5,33.1,36.8,38.6,31.4,40.1,37.0,36.6,33.5,33.8,43.0,31.5,34.7,42.0,41.8,42.4
2022-04-01 14:00,30.4,33.7,34.2,36.0,42.6,33.1,36.8,38.6,31.4,39.9,37.1,36.6,33.5,33.8,43.1,31.5,34.7,42.0,41.8,42.4
2022-04-01 15:00,30.4,33.7,34.2,36.0,42.6,33.2,36.8,38.6,31.4,40.1,37.1,36.6,33.5,33.8,43.0,31.6,34.7,41.9,41.8,42.4
2022-04-01 16:00,30.5,33.7,34.2,36.0,42.7,33.2,36.8,38.6,31.4,40.1,37.2,36.6,33.4,33.8,43.0,31.6,34.7,41.9,41.8,42.4
2022-04-01 17:00,30.5,33.7,34.2,36.0,42.6,33.2,36.8,38.6,31.4,39.9,37.3,36.6,33.4,33.8,43.0,31.7,34.7,41.9,41.8,42.4
2022-04-01 18:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.3,36.6,33.4,33.8,43.0,31.7,34.7,41.9,41.8,42.4
2022-04-01 19:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.4,36.6,33.4,33.8,43.1,31.7,34.8,42.0,41.8,42.5
2022-04-01 20:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.4,36.6,33.4,33.8,43.1,31.7,34.8,42.0,41.9,42.4
2022-04-01 21:00,30.6,33.7,34.2,36.0,42.6,33.2,36.9,38.6,31.4,40.1,37.4,36.7,33.4,33.8,43.1,31.7,34.8,41.9,41.9,42.4
2022-04-01 22:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.4,36.7,33.4,33.8,43.1,31.7,34.8,41.9,41.8,42.4
2022-04-01 23:00,30.5,33.7,34.2,36.0,42.6,33.2,36.9,38.6,31.4,40.1,37.4,36.7,33.4,33.8,43.2,31.8,34.8,41.9,41.8,42.4
2022-04-02 0:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.2,37.4,36.7,33.4,33.8,43.0,31.7,34.8,42.0,41.8,42.5
2022-04-02 1:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.4,36.7,33.4,33.8,43.2,31.7,34.8,42.0,41.9,42.5
2022-04-02 2:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.4,36.7,33.4,33.8,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-02 3:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.0,37.4,36.7,33.3,33.8,43.1,31.7,34.8,42.0,41.9,42.5
2022-04-02 4:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.4,36.7,33.4,33.8,43.1,31.7,34.8,42.0,41.9,42.4
2022-04-02 5:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.3,36.7,33.3,33.8,43.0,31.8,34.8,42.0,41.9,42.5
2022-04-02 6:00,30.5,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.0,37.3,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.9,42.4
2022-04-02 7:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.3,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.8,42.5
2022-04-02 8:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.3,36.7,33.4,33.8,43.1,31.7,34.9,42.0,41.9,42.5
2022-04-02 9:00,30.5,33.7,34.2,36.0,42.5,33.2,36.9,38.6,31.4,40.0,37.3,36.7,33.3,33.8,43.0,31.7,34.9,41.9,41.9,42.5
2022-04-02 10:00,30.6,33.8,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.0,37.3,36.7,33.4,33.8,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-02 11:00,30.6,33.7,34.2,36.0,42.6,33.2,36.9,38.6,31.4,40.1,37.2,36.7,33.3,33.8,43.1,31.7,34.8,41.9,41.9,42.4
2022-04-02 12:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.2,36.7,33.4,33.8,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-02 13:00,30.6,33.7,34.2,36.0,42.7,33.2,36.9,38.6,31.4,40.1,37.3,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.8,42.4
2022-04-02 14:00,30.6,33.7,34.2,36.0,42.6,33.2,36.9,38.6,31.3,40.1,37.4,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.8,42.4
2022-04-02 15:00,30.6,33.8,34.2,36.0,42.7,33.3,36.9,38.6,31.4,40.1,37.4,36.7,33.3,33.8,43.0,31.8,34.8,42.0,41.8,42.4
2022-04-02 16:00,30.6,33.8,34.1,36.0,42.7,33.3,36.9,38.6,31.4,40.1,37.5,36.7,33.3,33.8,43.0,31.8,34.8,41.9,41.8,42.4
2022-04-02 17:00,30.6,33.7,34.2,36.0,42.6,33.3,36.9,38.6,31.4,40.1,37.6,36.7,33.3,33.8,43.0,31.8,34.9,41.9,41.8,42.4
2022-04-02 18:00,30.7,33.8,34.2,36.0,42.6,33.3,36.9,38.6,31.4,40.1,37.6,36.7,33.3,33.8,43.1,31.8,34.9,41.9,41.8,42.4
2022-04-02 19:00,30.7,33.8,34.1,36.0,42.7,33.3,36.9,38.6,31.3,40.1,37.7,36.7,33.3,33.8,43.1,31.8,34.9,41.9,41.8,42.4
2022-04-02 20:00,30.7,33.8,34.2,36.0,42.7,33.4,37.0,38.6,31.4,40.0,37.7,36.7,33.3,33.8,43.2,31.8,34.9,41.9,41.9,42.5
2022-04-02 21:00,30.7,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.0,37.7,36.8,33.3,33.8,43.0,31.8,34.9,42.0,41.8,42.5
2022-04-02 22:00,30.7,33.8,34.2,36.0,42.7,33.4,37.0,38.6,31.3,40.0,37.7,36.8,33.3,33.8,43.1,31.8,34.9,42.0,41.9,42.4
2022-04-02 23:00,30.7,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.1,37.6,36.8,33.3,33.8,43.2,31.8,34.9,42.0,41.9,42.5
2022-04-03 0:00,30.6,33.8,34.1,36.0,42.7,33.3,37.0,38.6,31.3,39.9,37.6,36.8,33.3,33.8,43.2,31.8,34.9,42.0,41.9,42.4
2022-04-03 1:00,30.6,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.2,37.6,36.8,33.3,33.9,43.2,31.8,34.9,42.0,41.9,42.5
2022-04-03 2:00,30.6,33.8,34.2,36.0,42.6,33.3,37.0,38.6,31.3,40.1,37.5,36.8,33.3,33.9,43.1,31.8,34.9,42.0,41.9,42.5
2022-04-03 3:00,30.6,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.1,37.5,36.8,33.3,33.9,43.2,31.7,34.9,42.0,41.9,42.5
2022-04-03 4:00,30.6,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.1,37.5,36.8,33.3,33.9,43.2,31.7,34.9,42.0,41.9,42.4
2022-04-03 5:00,30.6,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.1,37.4,36.8,33.3,33.9,43.1,31.7,34.9,42.0,41.9,42.5
2022-04-03 6:00,30.5,33.8,34.2,36.0,42.7,33.3,37.0,38.6,31.3,40.1,37.4,36.8,33.3,33.8,43.1,31.7,34.9,42.0,41.9,42.5
2022-04-03 7:00,30.5,33.7,34.1,36.0,42.7,33.3,37.0,38.6,31.3,40.0,37.3,36.8,33.3,33.8,43.1,31.7,34.9,42.0,41.9,42.4
2022-04-03 8:00,30.5,33.8,34.2,36.0,42.7,33.2,37.0,38.6,31.3,40.1,37.3,36.8,33.3,33.8,43.1,31.7,34.9,42.0,41.9,42.4
2022-04-03 9:00,30.5,33.8,34.1,36.0,42.6,33.2,37.0,38.6,31.3,40.0,37.3,36.7,33.3,33.9,43.1,31.7,34.8,42.0,41.9,42.4
2022-04-03 10:00,30.5,33.8,34.2,36.0,42.6,33.2,37.0,38.6,31.3,40.1,37.3,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-03 11:00,30.5,33.7,34.2,36.0,42.7,33.2,37.0,38.6,31.3,40.1,37.3,36.7,33.3,33.9,43.1,31.7,34.8,41.9,41.9,42.4
2022-04-03 12:00,30.5,33.7,34.2,36.0,42.7,33.2,37.0,38.6,31.3,40.0,37.3,36.7,33.3,33.9,43.1,31.7,34.8,41.9,41.9,42.4
2022-04-03 13:00,30.5,33.7,34.2,36.0,42.7,33.2,37.0,38.6,31.3,40.1,37.3,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-03 14:00,30.5,33.7,34.1,36.0,42.7,33.2,36.9,38.6,31.3,39.9,37.3,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.8,42.4
2022-04-03 15:00,30.5,33.7,34.1,36.0,42.6,33.3,36.9,38.6,31.3,40.1,37.4,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.8,42.5
2022-04-03 16:00,30.5,33.7,34.1,35.9,42.6,33.3,36.9,38.6,31.3,40.1,37.4,36.7,33.3,33.8,43.0,31.7,34.8,41.9,41.8,42.4
2022-04-03 17:00,30.5,33.7,34.1,35.9,42.6,33.3,36.9,38.6,31.3,39.9,37.4,36.7,33.3,33.8,43.0,31.7,34.8,41.9,41.8,42.4
2022-04-03 18:00,30.6,33.7,34.1,35.9,42.6,33.3,36.9,38.6,31.3,40.1,37.5,36.7,33.3,33.8,43.0,31.7,34.8,42.0,41.8,42.5
2022-04-03 19:00,30.5,33.7,34.1,35.9,42.7,33.3,36.9,38.6,31.3,40.1,37.5,36.7,33.3,33.8,43.1,31.7,34.8,41.9,41.8,42.4
2022-04-03 20:00,30.6,33.7,34.2,35.9,42.6,33.3,37.0,38.5,31.3,40.2,37.5,36.7,33.3,33.8,43.1,31.7,34.8,42.0,41.9,42.4
2022-04-03 21:00,30.5,33.7,34.2,35.9,42.7,33.3,37.0,38.5,31.3,40.0,37.5,36.8,33.3,33.9,43.0,31.7,34.8,41.9,41.8,42.5
2022-04-03 22:00,30.6,33.7,34.1,35.9,42.7,33.3,37.0,38.6,31.3,40.1,37.5,36.7,33.3,33.9,43.1,31.7,34.8,42.0,41.9,42.5
2022-04-03 23:00,30.5,33.7,34.1,35.9,42.6,33.3,37.0,38.5,31.3,40.2,37.5,36.7,33.3,33.9,43.2,31.7,34.8,42.0,41.8,42.4
2022-04-04 0:00,30.5,33.7,34.1,35.9,42.7,33.3,37.0,38.6,31.3,40.0,37.5,36.7,33.3,33.8,43.1,31.7,34.8,42.0,41.8,42.4
2022-04-04 1:00,30.5,33.7,34.2,35.9,42.7,33.3,37.0,38.6,31.3,40.1,37.5,36.7,33.3,33.8,43.2,31.7,34.8,42.0,41.8,42.5
2022-04-04 2:00,30.5,33.7,34.1,35.9,42.7,33.3,37.0,38.6,31.3,40.2,37.4,36.7,33.3,33.9,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-04 3:00,30.5,33.7,34.1,35.9,42.7,33.3,37.0,38.6,31.3,40.0,37.4,36.7,33.3,33.9,43.0,31.7,34.8,42.0,41.9,42.5
2022-04-04 4:00,30.5,33.7,34.2,35.9,42.7,33.2,37.0,38.6,31.3,40.1,37.3,36.8,33.3,33.8,43.1,31.7,34.8,42.0,41.8,42.5
2022-04-04 5:00,30.5,33.7,34.2,35.9,42.7,33.2,37.0,38.6,31.3,40.1,37.4,36.8,33.3,33.9,43.2,31.7,34.8,42.0,41.9,42.5
2022-04-04 6:00,30.5,33.7,34.2,35.9,42.7,33.2,37.0,38.5,31.3,40.1,37.3,36.7,33.3,33.9,43.2,31.6,34.8,42.0,41.9,42.5
2022-04-04 7:00,30.4,33.7,34.2,35.9,42.7,33.2,37.0,38.6,31.3,40.1,37.3,36.7,33.3,33.9,43.2,31.6,34.8,42.0,41.9,42.4
2022-04-04 8:00,30.4,33.7,34.2,35.9,42.7,33.2,37.0,38.6,31.3,40.1,37.2,36.7,33.3,33.9,43.0,31.6,34.8,42.0,41.9,42.5
2022-04-04 9:00,30.4,33.7,34.2,35.9,42.7,33.2,37.0,38.5,31.3,40.1,37.2,36.7,33.3,33.9,43.1,31.6,34.7,42.0,41.9,42.4
