DATE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1
2019-05-31 20:00,35.2,40.9,37.5,40.4,31,37.1,34.4,38.6,36.2,36.2,40.5,39.4
2019-05-31 21:00,35.2,40.9,37.5,38.7,30.9,37.2,34.4,38.6,36.1,36.2,40.5,39.4
2019-05-31 22:00,35.1,41,37.4,38.3,30.8,37.3,34.4,38.6,36.1,36.2,40.5,39.4
2019-05-31 23:00,35.1,40.9,37,38.1,30.8,37.4,34.4,38.6,36,36.2,40.5,39.4
2019-06-01 0:00,35.1,40.9,36.3,37.7,30.7,37.4,34.4,38.6,36,36.2,40.5,39.4
2019-06-01 1:00,35,40.9,36.2,37.6,30.7,37.4,34.4,38.6,35.9,36.1,40.4,39.4
2019-06-01 2:00,35,40.8,36.2,37.5,30.6,37.5,34.4,38.6,35.9,36.1,40.4,39.4
2019-06-01 3:00,34.9,40.8,36.1,37.4,30.6,37.5,34.4,38.6,35.9,36.1,40.4,39.4
2019-06-01 4:00,34.9,40.8,36.1,37.4,30.5,37.5,34.4,38.6,35.8,36.1,40.5,39.4
2019-06-01 5:00,34.8,40.8,36,37.3,30.5,37.4,34.4,38.6,35.8,36,40.5,39.4
2019-06-01 6:00,34.8,40.8,36,37.2,30.5,37.4,34.4,38.6,35.7,36,40.5,39.4
2019-06-01 7:00,34.8,40.8,35.9,37.2,30.4,37.3,34.4,38.6,35.7,36,40.5,39.4
2019-06-01 8:00,34.8,40.8,35.9,37.1,30.4,37.2,34.5,38.6,35.7,35.9,40.5,39.4
2019-06-01 9:00,34.8,40.8,35.9,37,30.4,37.1,34.4,38.6,35.7,35.9,40.5,39.4
2019-06-01 10:00,34.8,40.7,35.8,36.9,30.5,37,34.4,38.6,35.7,35.9,40.5,39.4
2019-06-01 11:00,34.8,40.8,35.7,36.9,30.5,36.9,34.4,38.6,35.7,35.9,40.5,39.4
2019-06-01 12:00,34.8,40.7,35.7,36.8,30.6,36.9,34.4,38.6,35.8,35.9,40.5,39.4
2019-06-01 13:00,34.8,40.8,35.7,36.8,30.6,36.8,34.4,38.6,35.8,35.9,40.5,39.4
2019-06-01 14:00,34.8,40.8,35.6,36.8,30.7,36.8,34.4,38.6,35.9,35.9,40.4,39.4
2019-06-01 15:00,34.8,40.8,35.6,36.8,30.7,36.8,34.4,38.6,35.9,36,40.4,39.3
2019-06-01 16:00,34.8,40.8,35.5,36.8,30.8,36.9,34.4,38.6,36,36,40.4,39.4
