DATE,SWC_PI_F_1_1_1,SWC_PI_F_1_2_1,SWC_PI_F_1_3_1,SWC_PI_F_1_4_1,SWC_PI_F_2_1_1,SWC_PI_F_2_2_1,SWC_PI_F_2_3_1,SWC_PI_F_2_4_1,SWC_PI_F_3_1_1,SWC_PI_F_3_2_1,SWC_PI_F_3_3_1,SWC_PI_F_3_4_1
2020-04-01 0:00,29.2,33.3,40.2,40.2,35.4,40,38.9,43.8,28.9,33.7,35.3,30.2
2020-04-01 1:00,29.2,33.3,40.2,40.2,35.4,40,38.9,43.8,28.9,33.7,35.3,30.2
2020-04-01 2:00,29.2,33.3,40.2,40.2,35.4,40,38.9,43.8,28.8,33.7,35.3,30.2
2020-04-01 3:00,29.2,33.3,40.2,40.2,35.4,40,38.9,43.8,28.8,33.7,35.3,30.2
2020-04-01 4:00,29.2,33.3,40.2,40.2,35.3,40,38.9,43.8,28.8,33.7,35.3,30.2
2020-04-01 5:00,29.1,33.3,40.2,40.2,35.3,40,38.9,43.8,28.7,33.7,35.3,30.2
2020-04-01 6:00,29.1,33.3,40.2,40.2,35.3,39.9,38.9,43.8,28.7,33.7,35.3,30.2
2020-04-01 7:00,29.1,33.3,40.2,40.2,35.3,40,38.9,43.8,28.7,33.7,35.3,30.2
2020-04-01 8:00,29.1,33.3,40.2,40.2,35.2,40,38.9,43.8,28.7,33.7,35.3,30.2
2020-04-01 9:00,29,33.3,40.2,40.2,35.2,40,38.9,43.8,28.7,33.7,35.3,30.2
2020-04-01 10:00,29.1,33.3,40.2,40.2,35.2,40,38.9,43.8,28.7,33.7,35.4,30.2
2020-04-01 11:00,29.1,33.3,40.2,40.2,35.3,39.9,38.9,43.9,28.7,33.7,35.4,30.2
2020-04-01 12:00,29.1,33.3,40.3,40.2,35.3,39.9,38.9,43.8,28.8,33.6,35.4,30.2
2020-04-01 13:00,29.1,33.2,40.2,40.2,35.3,39.9,38.9,43.8,28.8,33.7,35.4,30.3
2020-04-01 14:00,29.2,33.2,40.2,40.2,35.4,39.9,38.9,43.8,28.9,33.7,35.3,30.2
2020-04-01 15:00,29.2,33.2,40.2,40.2,35.4,39.9,38.9,43.8,28.9,33.7,35.4,30.3
2020-04-01 16:00,29.2,33.2,40.2,40.2,35.4,39.9,38.9,43.8,28.9,33.7,35.4,30.3
2020-04-01 17:00,29.3,33.3,40.3,40.2,35.4,39.9,38.8,43.8,29,33.7,35.4,30.3
2020-04-01 18:00,29.3,33.3,40.2,40.1,35.3,39.9,38.9,43.8,29,33.6,35.3,30.2
2020-04-01 19:00,29.3,33.3,40.2,40.1,35.3,39.9,38.9,43.8,28.9,33.7,35.3,30.2
2020-04-01 20:00,29.3,33.3,40.2,40.1,35.3,39.9,38.8,43.8,28.9,33.7,35.3,30.2
2020-04-01 21:00,29.3,33.3,40.2,40.2,35.3,39.8,38.8,43.8,28.9,33.7,35.4,30.2
2020-04-01 22:00,29.3,33.3,40.2,40.2,35.2,39.9,38.8,43.8,28.9,33.7,35.3,30.2
2020-04-01 23:00,29.2,33.3,40.2,40.2,35.2,39.9,38.8,43.8,28.9,33.7,35.3,30.2
2020-04-02 0:00,29.2,33.3,40.2,40.2,35.2,39.8,38.8,43.8,28.8,33.7,35.3,30.2
2020-04-02 1:00,29.2,33.3,40.2,40.2,35.2,39.8,38.8,43.8,28.8,33.7,35.3,30.2
2020-04-02 2:00,29.2,33.3,40.2,40.2,35.1,39.8,38.8,43.8,28.8,33.7,35.3,30.2
2020-04-02 3:00,29.2,33.3,40.2,40.2,35.1,39.8,38.8,43.8,28.7,33.7,35.3,30.2
2020-04-02 4:00,29.2,33.3,40.2,40.2,35.1,39.8,38.8,43.8,28.7,33.7,35.3,30.2
2020-04-02 5:00,29.1,33.3,40.2,40.2,35.1,39.8,38.8,43.8,28.7,33.7,35.3,30.2
2020-04-02 6:00,29.1,33.3,40.2,40.2,35,39.8,38.7,43.8,28.7,33.7,35.3,30.2
2020-04-02 7:00,29.1,33.3,40.2,40.2,35,39.8,38.8,43.8,28.7,33.7,35.3,30.2
2020-04-02 8:00,29.1,33.2,40.2,40.2,35,39.8,38.7,43.8,28.7,33.7,35.3,30.2
2020-04-02 9:00,29.1,33.2,40.2,40.2,35,39.8,38.7,43.8,28.6,33.6,35.3,30.2
2020-04-02 10:00,29.1,33.2,40.2,40.2,35,39.8,38.7,43.8,28.6,33.6,35.3,30.2
2020-04-02 11:00,29.1,33.2,40.2,40.1,35,39.8,38.7,43.8,28.7,33.6,35.3,30.2
2020-04-02 12:00,29,33.2,40.2,40.1,34.9,39.7,38.6,43.8,28.6,33.6,35.3,30.2
2020-04-02 13:00,29.1,33.2,40.3,40.1,34.9,39.8,38.7,43.8,28.6,33.6,35.3,30.2
2020-04-02 14:00,29,33.2,40.3,40.1,34.9,39.7,38.6,43.8,28.6,33.6,35.3,30.2
2020-04-02 15:00,29,33.1,40.3,40.1,34.8,39.7,38.6,43.8,28.5,33.6,35.3,30.2
2020-04-02 16:00,29,33.2,40.2,40.1,34.8,39.7,38.6,43.8,28.5,33.6,35.3,30.2
2020-04-02 17:00,29,33.2,40.3,40.2,34.8,39.7,38.6,43.8,28.5,33.6,35.3,30.2
2020-04-02 18:00,28.9,33.1,40.2,40.2,34.7,39.7,38.6,43.8,28.5,33.6,35.3,30.2
2020-04-02 19:00,28.9,33.1,40.3,40.2,34.7,39.7,38.6,43.8,28.4,33.6,35.4,30.2
2020-04-02 20:00,28.9,33.1,40.2,40.1,34.7,39.7,38.6,43.7,28.4,33.6,35.3,30.2
2020-04-02 21:00,28.9,33.1,40.2,40.1,34.6,39.7,38.5,43.8,28.4,33.6,35.3,30.2
2020-04-02 22:00,28.8,33.1,40.2,40.1,34.6,39.7,38.5,43.8,28.3,33.5,35.3,30.2
2020-04-02 23:00,28.8,33,40.2,40.1,34.6,39.7,38.5,43.8,28.3,33.6,35.3,30.2
2020-04-03 0:00,28.8,33,40.2,40.1,34.5,39.6,38.5,43.7,28.3,33.6,35.3,30.2
2020-04-03 1:00,28.7,33,40.2,40.1,34.5,39.6,38.5,43.7,28.2,33.5,35.3,30.2
2020-04-03 2:00,28.7,33,40.2,40.1,34.5,39.6,38.5,43.7,28.2,33.5,35.3,30.2
2020-04-03 3:00,28.7,33,40.2,40.1,34.4,39.6,38.5,43.7,28.2,33.5,35.3,30.2
2020-04-03 4:00,28.6,33,40.2,40.1,34.4,39.6,38.4,43.7,28.1,33.5,35.3,30.2
2020-04-03 5:00,28.6,32.9,40.2,40.1,34.4,39.6,38.4,43.7,28.1,33.5,35.3,30.2
2020-04-03 6:00,28.6,32.9,40.2,40.1,34.4,39.6,38.4,43.7,28.1,33.5,35.3,30.2
2020-04-03 7:00,28.5,32.9,40.2,40.1,34.3,39.6,38.4,43.7,28.1,33.5,35.3,30.2
2020-04-03 8:00,28.5,32.9,40.2,40.1,34.3,39.6,38.4,43.7,28.1,33.5,35.3,30.2
2020-04-03 9:00,28.5,32.8,40.2,40.1,34.3,39.5,38.4,43.7,28.1,33.5,35.3,30.2
2020-04-03 10:00,28.5,32.8,40.2,40.1,34.2,39.5,38.3,43.8,28,33.4,35.3,30.2
2020-04-03 11:00,28.5,32.8,40.2,40.1,34.2,39.5,38.3,43.7,28,33.4,35.3,30.2
2020-04-03 12:00,28.5,32.7,40.2,40.1,34.2,39.5,38.3,43.7,28,33.4,35.3,30.2
