DATE,SWC_F_1_1_1,SWC_F_1_2_1,SWC_F_1_3_1,SWC_F_1_4_1,SWC_F_2_1_1,SWC_F_2_2_1,SWC_F_2_3_1,SWC_F_2_4_1,SWC_F_3_1_1,SWC_F_3_2_1,SWC_F_3_3_1,SWC_F_3_4_1,,
2022-04-01 0:00,30.8,32.6,38.6,37.4,32.3,36.7,37.4,45.9,29.0,31.4,34.6,29.7,,
2022-04-01 1:00,30.7,32.6,38.6,37.4,32.3,36.7,37.4,45.9,29.0,31.4,34.6,29.7,,
2022-04-01 2:00,30.7,32.6,38.6,37.4,32.3,36.7,37.4,45.9,28.9,31.4,34.6,29.7,,
2022-04-01 3:00,30.7,32.5,38.6,37.4,32.3,36.7,37.4,45.9,28.9,31.4,34.6,29.7,,
2022-04-01 4:00,30.7,32.5,38.6,37.4,32.3,36.7,37.4,45.9,28.9,31.4,34.6,29.7,,
2022-04-01 5:00,30.7,32.5,38.6,37.4,32.3,36.7,37.4,45.9,28.9,31.4,34.6,29.7,,
2022-04-01 6:00,30.7,32.5,38.6,37.4,32.3,36.7,37.3,45.9,28.9,31.4,34.6,29.7,,
2022-04-01 7:00,30.7,32.5,38.5,37.4,32.2,36.7,37.3,45.9,28.9,31.4,34.6,29.7,,
2022-04-01 8:00,30.7,32.5,38.6,37.4,32.2,36.6,37.3,45.9,28.8,31.4,34.6,29.7,,
2022-04-01 9:00,30.6,32.5,38.5,37.5,32.2,36.6,37.3,46.0,28.8,31.4,34.6,29.7,,
2022-04-01 10:00,30.6,32.5,38.6,37.4,32.2,36.6,37.3,46.0,28.8,31.4,34.6,29.7,,
2022-04-01 11:00,30.6,32.5,38.5,37.5,32.2,36.6,37.3,46.0,28.8,31.4,34.6,29.8,,
2022-04-01 12:00,30.6,32.4,38.6,37.4,32.2,36.6,37.3,46.0,28.8,31.4,34.6,29.7,,
2022-04-01 13:00,30.6,32.4,38.6,37.4,32.2,36.6,37.3,46.0,28.8,31.4,34.6,29.8,,
2022-04-01 14:00,30.7,32.4,38.6,37.5,32.2,36.6,37.3,46.0,28.9,31.4,34.6,29.8,,
2022-04-01 15:00,30.7,32.4,38.6,37.5,32.3,36.6,37.3,46.0,28.9,31.4,34.6,29.7,,
