DATE,Precip (mm),,
01-Apr-22,0,,#Precip is in mm
02-Apr-22,0,,
03-Apr-22,0,,
04-Apr-22,0,,
05-Apr-22,0,,
06-Apr-22,0,,
07-Apr-22,0,,
08-Apr-22,0,,
09-Apr-22,0,,
10-Apr-22,0,,
11-Apr-22,0,,
12-Apr-22,0,,
13-Apr-22,0,,
14-Apr-22,0,,
15-Apr-22,0,,
16-Apr-22,0,,
17-Apr-22,0,,
18-Apr-22,0,,
19-Apr-22,0,,
20-Apr-22,0,,
21-Apr-22,0,,
22-Apr-22,0.51,,
23-Apr-22,0.76,,
24-Apr-22,0.25,,
25-Apr-22,0,,
26-Apr-22,0,,
27-Apr-22,0,,
28-Apr-22,0,,
29-Apr-22,0,,
30-Apr-22,0,,
01-May-22,0,,
02-May-22,0,,
03-May-22,0,,
04-May-22,0,,
05-May-22,0,,
06-May-22,0,,
07-May-22,0,,
08-May-22,0,,
09-May-22,0,,
10-May-22,0,,
11-May-22,0,,
12-May-22,0,,
13-May-22,0,,
14-May-22,0,,
15-May-22,0,,
16-May-22,0,,
17-May-22,0,,
18-May-22,0,,
19-May-22,0,,
20-May-22,0,,
21-May-22,0,,
22-May-22,0,,
23-May-22,0,,
24-May-22,0,,
25-May-22,0,,
26-May-22,0,,
27-May-22,0,,
28-May-22,0,,
29-May-22,0,,
30-May-22,0,,
31-May-22,0,,
01-Jun-22,0,,
02-Jun-22,0,,
03-Jun-22,0,,
04-Jun-22,0,,
05-Jun-22,0,,
06-Jun-22,0,,
07-Jun-22,0,,
08-Jun-22,0,,
09-Jun-22,0,,
10-Jun-22,0,,
11-Jun-22,0,,
12-Jun-22,0,,
13-Jun-22,0,,
14-Jun-22,0,,
15-Jun-22,0,,
16-Jun-22,0,,
17-Jun-22,0,,
18-Jun-22,0,,
19-Jun-22,0,,
20-Jun-22,0,,
21-Jun-22,0,,
22-Jun-22,0,,
23-Jun-22,0,,
24-Jun-22,0,,
25-Jun-22,0,,
26-Jun-22,0,,
27-Jun-22,0,,
28-Jun-22,0,,
29-Jun-22,0,,
30-Jun-22,0,,
01-Jul-22,0,,
02-Jul-22,0,,
03-Jul-22,0,,
04-Jul-22,0,,
05-Jul-22,0,,
06-Jul-22,0,,
07-Jul-22,0,,
08-Jul-22,0,,
09-Jul-22,0,,
10-Jul-22,0,,
11-Jul-22,0,,
12-Jul-22,0,,
13-Jul-22,0,,
14-Jul-22,0,,
15-Jul-22,0,,
16-Jul-22,0,,
17-Jul-22,0,,
18-Jul-22,0,,
19-Jul-22,0,,
20-Jul-22,0,,
21-Jul-22,0,,
22-Jul-22,0,,
23-Jul-22,0,,
24-Jul-22,0,,
25-Jul-22,0,,
26-Jul-22,0,,
27-Jul-22,0,,
28-Jul-22,0,,
29-Jul-22,0,,
30-Jul-22,0,,
31-Jul-22,0,,
01-Aug-22,0,,
02-Aug-22,0,,
03-Aug-22,0,,
04-Aug-22,0,,
05-Aug-22,0,,
06-Aug-22,0,,
07-Aug-22,0,,
08-Aug-22,0,,
09-Aug-22,0,,
10-Aug-22,0,,
11-Aug-22,0,,
12-Aug-22,0,,
13-Aug-22,0,,
14-Aug-22,0,,
15-Aug-22,0,,
16-Aug-22,0,,
17-Aug-22,0,,
18-Aug-22,0,,
19-Aug-22,0,,
20-Aug-22,0,,
21-Aug-22,0,,
22-Aug-22,0,,
23-Aug-22,0,,
24-Aug-22,0,,
25-Aug-22,0,,
26-Aug-22,0,,
