DATE,Precip (mm)
01-Apr-23,0
02-Apr-23,0
03-Apr-23,0
04-Apr-23,0
05-Apr-23,0
06-Apr-23,0
07-Apr-23,0
08-Apr-23,0
09-Apr-23,1.02
10-Apr-23,1.78
11-Apr-23,0
12-Apr-23,0
13-Apr-23,0
14-Apr-23,2.28
15-Apr-23,5.57
16-Apr-23,0
17-Apr-23,0
18-Apr-23,8.38
19-Apr-23,0
20-Apr-23,0
21-Apr-23,0
22-Apr-23,0
23-Apr-23,0
24-Apr-23,0
25-Apr-23,0
26-Apr-23,0
27-Apr-23,0
28-Apr-23,8.1
29-Apr-23,0
30-Apr-23,0
01-May-23,0
02-May-23,0
03-May-23,0
04-May-23,0
05-May-23,1.52
06-May-23,0
07-May-23,1.52
08-May-23,0
09-May-23,0
10-May-23,0
11-May-23,0
12-May-23,0.25
13-May-23,0
14-May-23,0
15-May-23,0.25
16-May-23,0
17-May-23,0
18-May-23,0
19-May-23,0
20-May-23,0
21-May-23,0
22-May-23,0
23-May-23,0
24-May-23,0
25-May-23,0
26-May-23,0
27-May-23,0
28-May-23,0
29-May-23,0
30-May-23,0
31-May-23,0
01-Jun-23,21.59
02-Jun-23,0.5
03-Jun-23,0
04-Jun-23,4.32
05-Jun-23,0
06-Jun-23,0
07-Jun-23,0
08-Jun-23,0.25
09-Jun-23,0
10-Jun-23,3.81
11-Jun-23,11.17
12-Jun-23,0
13-Jun-23,0
14-Jun-23,0
15-Jun-23,0
16-Jun-23,0
17-Jun-23,1.01
18-Jun-23,0
19-Jun-23,0
20-Jun-23,0
21-Jun-23,0
22-Jun-23,0
23-Jun-23,2.79
24-Jun-23,1.27
25-Jun-23,0
26-Jun-23,0
27-Jun-23,0
28-Jun-23,0
29-Jun-23,6.85
30-Jun-23,28.45
01-Jul-23,22.86
02-Jul-23,0
03-Jul-23,0
04-Jul-23,4.32
05-Jul-23,2.54
06-Jul-23,0
07-Jul-23,23.62
08-Jul-23,0
09-Jul-23,0
10-Jul-23,5.84
11-Jul-23,0
12-Jul-23,19.05
13-Jul-23,0
14-Jul-23,19.04
15-Jul-23,0
16-Jul-23,3.04
17-Jul-23,0
18-Jul-23,3.56
19-Jul-23,2.54
20-Jul-23,0.25
21-Jul-23,0
22-Jul-23,2.54
23-Jul-23,0
24-Jul-23,13.72
25-Jul-23,0
26-Jul-23,0
27-Jul-23,0
28-Jul-23,0
29-Jul-23,4.06
30-Jul-23,25.91
31-Jul-23,42.93
01-Aug-23,0
02-Aug-23,2.28
03-Aug-23,0
04-Aug-23,0
05-Aug-23,11.68
06-Aug-23,0.5
07-Aug-23,0
08-Aug-23,0.76
09-Aug-23,14.98
10-Aug-23,0
11-Aug-23,0
12-Aug-23,0
13-Aug-23,9.14
14-Aug-23,0
15-Aug-23,0
16-Aug-23,0
17-Aug-23,0
18-Aug-23,0
19-Aug-23,0
20-Aug-23,0
21-Aug-23,0
22-Aug-23,0
23-Aug-23,0
24-Aug-23,0
25-Aug-23,9.65
26-Aug-23,8.64
27-Aug-23,0
28-Aug-23,0
29-Aug-23,0
30-Aug-23,0
31-Aug-23,0
01-Sep-23,0
02-Sep-23,0
03-Sep-23,0
04-Sep-23,0
05-Sep-23,0
06-Sep-23,0
07-Sep-23,0
08-Sep-23,0
09-Sep-23,0
10-Sep-23,0.25
11-Sep-23,0
12-Sep-23,0
13-Sep-23,0
14-Sep-23,0
15-Sep-23,0.25
16-Sep-23,0
17-Sep-23,0
18-Sep-23,0
19-Sep-23,0
20-Sep-23,0
21-Sep-23,0
22-Sep-23,7.6
23-Sep-23,1.77
24-Sep-23,0
25-Sep-23,0
26-Sep-23,0
27-Sep-23,0
28-Sep-23,0
29-Sep-23,0
30-Sep-23,0
01-Oct-23,0
02-Oct-23,0
03-Oct-23,32.51
04-Oct-23,0
05-Oct-23,0
06-Oct-23,0.51
07-Oct-23,0
08-Oct-23,0
09-Oct-23,0
10-Oct-23,0
11-Oct-23,0
12-Oct-23,21.84
13-Oct-23,0.76
14-Oct-23,2.54
15-Oct-23,0
16-Oct-23,0
17-Oct-23,0
18-Oct-23,0
19-Oct-23,0
20-Oct-23,0
21-Oct-23,0
22-Oct-23,0
23-Oct-23,0
24-Oct-23,0.25
25-Oct-23,1.78
26-Oct-23,1.01
27-Oct-23,0.25
28-Oct-23,0
29-Oct-23,0
30-Oct-23,0
31-Oct-23,0
01-Nov-23,0
02-Nov-23,0
03-Nov-23,0
04-Nov-23,0
05-Nov-23,0
06-Nov-23,0
07-Nov-23,0
08-Nov-23,0
