DATE,SWC_PI_F_1_1_1,SWC_PI_F_1_2_1,SWC_PI_F_1_3_1,SWC_PI_F_1_4_1,SWC_PI_F_1_5_1,SWC_PI_F_2_1_1,SWC_PI_F_2_2_1,SWC_PI_F_2_3_1,SWC_PI_F_2_4_1,SWC_PI_F_2_5_1,SWC_PI_F_3_1_1,SWC_PI_F_3_2_1,SWC_PI_F_3_3_1,SWC_PI_F_3_4_1,SWC_PI_F_3_5_1,SWC_PI_F_4_1_1,SWC_PI_F_4_2_1,SWC_PI_F_4_3_1,SWC_PI_F_4_4_1,SWC_PI_F_4_5_1
2017-04-01 0:07,30,35,35.8,36.6,43.8,34.8,38.1,41.2,32.9,41.7,39.7,39,34.2,37.3,42.2,37.6,40.1,44.1,42.6,45.1
2017-04-01 1:07,30,35,35.5,36.6,43.9,34.8,38.1,41.2,32.9,41.8,39.7,39,34.3,37.3,42.2,37.6,40.1,44.1,42.6,45.1
2017-04-01 2:07,30,35,35.6,36.6,43.8,34.8,38.1,41.1,32.9,41.8,39.7,39,34.3,37.3,42.1,37.6,40.1,44.1,42.6,45.1
2017-04-01 3:07,30,34.9,35.5,36.6,43.9,34.7,38.1,41.1,32.9,41.7,39.7,39,34.2,37.3,42.1,37.6,40.1,44.1,42.7,45.1
2017-04-01 4:07,29.9,34.9,35.5,36.6,43.8,34.7,38.1,41.1,32.9,41.8,39.7,39,34.2,37.3,42.2,37.6,40.1,44.1,42.6,45.1
2017-04-01 5:07,29.9,34.9,35.5,36.6,43.9,34.7,38,41,32.9,41.7,39.6,39,34.2,37.3,42,37.6,40,44.1,42.6,45.1
2017-04-01 6:07,29.9,34.9,35.5,36.6,43.9,34.7,38,41,32.9,41.8,39.6,39,34.2,37.3,42,37.6,40,44.1,42.6,45
2017-04-01 7:07,29.8,34.9,35.5,36.6,43.9,34.7,38,41,32.9,41.8,39.6,38.9,34.2,37.3,42,37.5,40,44.1,42.6,45.1
2017-04-01 8:07,29.8,34.9,35.5,36.6,43.9,34.7,38,41,32.9,41.8,39.6,38.9,34.2,37.3,42.1,37.5,40,44.1,42.6,45.1
2017-04-01 9:07,29.8,34.9,35.5,36.6,43.9,34.6,38,41,32.8,41.7,39.5,38.9,34.2,37.2,42.1,37.5,40,44,42.6,45
2017-04-01 10:07,29.8,34.9,35.5,36.6,43.9,34.6,37.9,40.9,32.8,41.7,39.5,38.9,34.2,37.2,42,37.5,40,44,42.6,45.1
