DATE,SWC_F_1_1_1,SWC_F_1_2_1,SWC_F_1_3_1,SWC_F_1_4_1,SWC_F_1_5_1,SWC_F_2_1_1,SWC_F_2_2_1,SWC_F_2_3_1,SWC_F_2_4_1,SWC_F_2_5_1,SWC_F_3_1_1,SWC_F_3_2_1,SWC_F_3_3_1,SWC_F_3_4_1,SWC_F_3_5_1,SWC_F_4_1_1,SWC_F_4_2_1,SWC_F_4_3_1,SWC_F_4_4_1,SWC_F_4_5_1
4/1/2023 0:00,27.1,28.2,18.3,21,43.4,28.5,30.9,28.8,20.3,39.9,36.7,35.7,33.1,31.7,43,31.8,33.9,38.7,41,43.7
4/1/2023 1:00,27.1,28.2,18.3,21,43.6,28.5,30.9,28.8,20.3,40.1,36.7,35.7,33.1,31.7,43,31.8,33.9,38.7,41,43.7
4/1/2023 2:00,27.1,28.2,18.3,21,43.5,28.4,30.8,28.8,20.3,40,36.6,35.7,33.1,31.7,43,31.8,33.9,38.7,41,43.6
4/1/2023 3:00,27,28.2,18.3,21,43.5,28.4,30.8,28.8,20.3,40.1,36.6,35.7,33.1,31.7,43,31.8,33.9,38.7,41,43.6
4/1/2023 4:00,27,28.2,18.3,21.1,43.6,28.4,30.8,28.8,20.3,40,36.6,35.7,33.1,31.7,43,31.7,33.8,38.7,41,43.6
4/1/2023 5:00,27,28.2,18.3,21,43.5,28.3,30.8,28.8,20.3,39.9,36.5,35.7,33.2,31.7,43,31.7,33.8,38.7,41,43.7
4/1/2023 6:00,27,28.2,18.3,21,43.6,28.3,30.8,28.8,20.3,40.1,36.5,35.7,33.2,31.7,42.9,31.7,33.8,38.7,41,43.7
4/1/2023 7:00,27,28.2,18.3,21,43.5,28.3,30.8,28.8,20.3,40.1,36.4,35.6,33.2,31.7,42.9,31.7,33.8,38.7,41,43.6
4/1/2023 8:00,26.9,28.2,18.3,21,43.5,28.3,30.8,28.8,20.3,39.8,36.4,35.6,33.2,31.7,43,31.7,33.8,38.7,41,43.7
4/1/2023 9:00,26.9,28.2,18.3,21,43.4,28.2,30.8,28.8,20.3,40,36.4,35.6,33.1,31.7,42.9,31.7,33.8,38.7,41,43.5
4/1/2023 10:00,26.9,28.2,18.3,21.1,43.5,28.2,30.8,28.9,20.3,40,36.4,35.6,33.2,31.7,42.8,31.6,33.8,38.7,41.1,43.6
4/1/2023 11:00,26.9,28.1,18.3,21,43.5,28.2,30.8,28.9,20.3,39.9,36.3,35.5,33.1,31.7,42.9,31.6,33.8,38.7,41,43.7
4/1/2023 12:00,26.9,28.1,18.3,21,43.5,28.2,30.7,28.9,20.3,40.1,36.3,35.5,33.1,31.7,42.8,31.6,33.7,38.7,41.1,43.7
4/1/2023 13:00,26.9,28.1,18.3,21,43.5,28.2,30.7,28.9,20.3,39.9,36.4,35.5,33.1,31.7,42.8,31.6,33.7,38.7,41,43.7
4/1/2023 14:00,26.9,28.1,18.3,21,43.5,28.3,30.7,28.9,20.3,40.1,36.4,35.5,33.1,31.7,43,31.6,33.7,38.7,41,43.6
4/1/2023 15:00,26.9,28.2,18.3,21.1,43.5,28.3,30.7,28.9,20.3,40.1,36.4,35.5,33.1,31.7,42.9,31.7,33.7,38.7,41,43.6
4/1/2023 16:00,26.9,28.1,18.3,21.1,43.4,28.3,30.7,28.8,20.3,40,36.5,35.5,33.1,31.7,42.8,31.7,33.7,38.7,41,43.6
4/1/2023 17:00,27,28.1,18.3,21.1,43.5,28.3,30.7,28.8,20.3,40,36.5,35.5,33.1,31.7,42.8,31.7,33.7,38.7,41,43.6
4/1/2023 18:00,27,28.1,18.3,21.1,43.4,28.4,30.7,28.8,20.3,40.1,36.6,35.5,33.1,31.7,42.8,31.7,33.7,38.7,41,43.6
4/1/2023 19:00,26.9,28.1,18.3,21.1,43.4,28.4,30.7,28.9,20.3,40,36.6,35.5,33.1,31.7,42.8,31.7,33.7,38.7,41,43.6
4/1/2023 20:00,27,28.1,18.3,21.1,43.6,28.4,30.7,28.8,20.3,40,36.6,35.5,33.1,31.7,42.8,31.7,33.7,38.7,41,43.7
4/1/2023 21:00,27,28.1,18.3,21.1,43.5,28.4,30.7,28.9,20.3,40.1,36.6,35.5,33.1,31.7,42.9,31.7,33.7,38.7,41,43.6
4/1/2023 22:00,26.9,28.1,18.3,21.1,43.4,28.3,30.7,28.9,20.3,40,36.6,35.5,33.1,31.7,42.9,31.7,33.7,38.7,41,43.7
4/1/2023 23:00,26.9,28.1,18.3,21.1,43.6,28.3,30.8,28.9,20.3,40.1,36.6,35.6,33.1,31.7,42.9,31.7,33.7,38.7,41,43.7
4/2/2023 0:00,26.9,28.1,18.3,21.1,43.6,28.3,30.8,28.9,20.3,40.1,36.5,35.6,33.1,31.7,42.9,31.6,33.7,38.7,41,43.7
4/2/2023 1:00,26.9,28.1,18.3,21.1,43.6,28.3,30.8,28.9,20.3,39.9,36.5,35.5,33.1,31.7,42.9,31.6,33.7,38.7,41,43.7
